MUNICIPIO,IDHM,IDHMR
São Caetano do SulSP,0.862,0.891
Águas de São PedroSP,0.854,0.849
FlorianópolisSC,0.847,0.87
Balneário CamboriúSC,0.845,0.854
VitóriaES,0.845,0.876
SantosSP,0.84,0.861
NiteróiRJ,0.837,0.887
JoaçabaSC,0.827,0.823
BrasíliaDF,0.824,0.863
CuritibaPR,0.823,0.85
JundiaíSP,0.822,0.834
ValinhosSP,0.819,0.848
VinhedoSP,0.817,0.84
Santo AndréSP,0.815,0.819
AraraquaraSP,0.815,0.788
Santana de ParnaíbaSP,0.814,0.876
Nova LimaMG,0.813,0.864
Ilha SolteiraSP,0.812,0.786
AmericanaSP,0.811,0.8
Belo HorizonteMG,0.81,0.841
São JoséSC,0.809,0.799
JoinvilleSC,0.809,0.795
MaringáPR,0.808,0.806
São José dos CamposSP,0.807,0.804
BlumenauSC,0.806,0.812
Presidente PrudenteSP,0.806,0.788
Rio FortunaSC,0.806,0.848
São PauloSP,0.805,0.843
AssisSP,0.805,0.771
CampinasSP,0.805,0.829
São Bernardo do CampoSP,0.805,0.807
Porto AlegreRS,0.805,0.867
São CarlosSP,0.805,0.788
Rio ClaroSP,0.803,0.784
Jaraguá do SulSC,0.803,0.793
Rio do SulSC,0.802,0.793
BauruSP,0.801,0.8
São Miguel do OesteSC,0.801,0.787
PirassunungaSP,0.801,0.789
ConcórdiaSC,0.8,0.777
Vila VelhaES,0.8,0.807
TaubatéSP,0.8,0.778
Ribeirão PretoSP,0.8,0.82
BotucatuSP,0.8,0.79
GoiâniaGO,0.799,0.824
Rio de JaneiroRJ,0.799,0.84
MaríliaSP,0.798,0.768
SorocabaSP,0.798,0.792
GuaratinguetáSP,0.798,0.764
São João da Boa VistaSP,0.797,0.776
São José do Rio PretoSP,0.797,0.801
FernandópolisSP,0.797,0.767
ItapemaSC,0.796,0.788
TubarãoSC,0.796,0.788
Carlos BarbosaRS,0.796,0.835
BrusqueSC,0.795,0.794
IomerêSC,0.795,0.754
PaulíniaSP,0.795,0.8
Treze TíliasSC,0.795,0.838
ItajaíSC,0.795,0.778
HolambraSP,0.793,0.815
Quatro PontesPR,0.791,0.79
Três ArroiosRS,0.791,0.843
Nova OdessaSP,0.791,0.755
Ipiranga do SulRS,0.791,0.818
SaltinhoSP,0.791,0.771
VotuporangaSP,0.79,0.772
Santa Cruz da ConceiçãoSP,0.79,0.83
AdamantinaSP,0.79,0.772
ChapecóSC,0.79,0.779
Cândido RodriguesSP,0.789,0.747
UberlândiaMG,0.789,0.776
BarretosSP,0.789,0.762
LuzernaSC,0.789,0.781
Lagoa dos Três CantosRS,0.789,0.765
AraçatubaSP,0.788,0.782
CruzeiroSP,0.788,0.742
MairiporãSP,0.788,0.767
Barra BonitaSP,0.788,0.762
CriciúmaSC,0.788,0.786
IndaiatubaSP,0.788,0.791
CaçapavaSP,0.788,0.754
Fernando de NoronhaPE,0.788,0.781
PalmasTO,0.788,0.789
ItajubáMG,0.787,0.767
Espírito Santo do PinhalSP,0.787,0.784
GaribaldiRS,0.786,0.825
PompéiaSP,0.786,0.75
Porto UniãoSC,0.786,0.752
LinsSP,0.786,0.762
BarueriSP,0.786,0.791
PiracicabaSP,0.785,0.797
AmparoSP,0.785,0.78
Nova AraçáRS,0.785,0.796
CuiabáMT,0.785,0.8
CatanduvaSP,0.785,0.767
CascaRS,0.785,0.778
TremembéSP,0.785,0.769
Monte AprazívelSP,0.785,0.781
Santa Fé do SulSP,0.784,0.763
Ribeirão PiresSP,0.784,0.749
IvotiRS,0.784,0.78
JaguariúnaSP,0.784,0.782
Santa MariaRS,0.784,0.795
Salto VelosoSC,0.784,0.778
ArujáSP,0.784,0.761
TimbóSC,0.784,0.807
Campo GrandeMS,0.784,0.79
Mogi MirimSP,0.784,0.767
HorizontinaRS,0.783,0.782
PinhalzinhoSC,0.783,0.758
Mogi das CruzesSP,0.783,0.762
CascavelPR,0.782,0.776
Caxias do SulRS,0.782,0.812
Pato BrancoPR,0.782,0.778
CerquilhoSP,0.782,0.758
LavrasMG,0.782,0.757
São Bento do SulSC,0.782,0.763
CaieirasSP,0.781,0.74
IjuíRS,0.781,0.786
Santo Amaro da ImperatrizSC,0.781,0.753
BombinhasSC,0.781,0.753
MaravilhaSC,0.781,0.758
Águas da PrataSP,0.781,0.75
LacerdópolisSC,0.781,0.763
Santa Bárbara D'OesteSP,0.781,0.752
ArarasSP,0.781,0.763
BebedouroSP,0.78,0.756
Cocal do SulSC,0.78,0.747
PomerodeSC,0.78,0.78
FrancaSP,0.78,0.749
Vista Alegre do PrataRS,0.78,0.809
Nova PetrópolisRS,0.78,0.775
BoituvaSP,0.78,0.757
Braço do TrombudoSC,0.78,0.766
OrlândiaSP,0.78,0.765
CorupáSC,0.78,0.768
CotiaSP,0.78,0.789
BiriguiSP,0.78,0.743
SaltoSP,0.78,0.755
Poços de CaldasMG,0.779,0.768
AndradinaSP,0.779,0.762
PiratiningaSP,0.779,0.762
SearaSC,0.779,0.804
Bento GonçalvesRS,0.778,0.805
VarginhaMG,0.778,0.76
Juiz de ForaMG,0.778,0.784
OurinhosSP,0.778,0.753
JaúSP,0.778,0.768
LondrinaPR,0.778,0.789
TietêSP,0.778,0.764
JaboticabalSP,0.778,0.778
ItatibaSP,0.778,0.788
LajeadoRS,0.778,0.796
Braço do NorteSC,0.778,0.746
Nova BrésciaRS,0.778,0.836
Victor GraeffRS,0.777,0.774
José BonifácioSP,0.777,0.752
SelbachRS,0.777,0.785
IndaialSC,0.777,0.767
LouveiraSP,0.777,0.783
MafraSC,0.777,0.738
JacareíSP,0.777,0.749
SarandiRS,0.777,0.776
Lagoa SantaMG,0.777,0.79
Pinheiro PretoSC,0.777,0.762
FarroupilhaRS,0.777,0.783
IracemápolisSP,0.776,0.742
Itaú de MinasMG,0.776,0.761
Bragança PaulistaSP,0.776,0.772
ErechimRS,0.776,0.782
Passo FundoRS,0.776,0.787
JalesSP,0.776,0.75
OsascoSP,0.776,0.776
Araçoiaba da SerraSP,0.776,0.751
PirapozinhoSP,0.776,0.74
DracenaSP,0.776,0.752
XanxerêSC,0.775,0.76
LimeiraSP,0.775,0.761
CeresGO,0.775,0.753
ItapirangaSC,0.775,0.766
ViçosaMG,0.775,0.758
Santa Rita do Passa QuatroSP,0.775,0.764
Trombudo CentralSC,0.775,0.76
OuroSC,0.774,0.774
TrevisoSC,0.774,0.737
MassarandubaSC,0.774,0.749
Mogi GuaçuSP,0.774,0.74
SiderópolisSC,0.774,0.751
MarauRS,0.774,0.773
Francisco BeltrãoPR,0.774,0.758
CruzáliaSP,0.774,0.698
